% Format of weather data in CARNOT.
%   station name:  TRY09 Thueringer Becken und Saechsisches Huegelland, Chemnitz, WMO 10577, alti 418 m   country: Germany
%   geographical positon: longitude: 50.800000 , latitude: -12.866667
%   reference meridian for time (example: 0° = Greenwich Mean Time): -15.000000
% Data converted from Test Reference Year. Period 1988-2007 averageYear 
% Use the Carnot block "weather_from_file" to get the data in your model.
%
% col   description                                       units
% 1     time                                                s
% 2     timevalue (comment line) format YYYYMMDDHHMM        -
%       Y is the year, M the month, D the day, H the hour
% 3     zenith angle of sun (at time, not averaged)         degree
%       (continue at night to get time of sunrise by
%       linear interpolation)
% 4     azimuth angle of sun (0°=south, east negative)      degree
%       (at time, not average in timestep)
% 5     direct solar radiation on a normal surface          W/m^2
% 6     diffuse solar radiation on surface                  W/m^2
% 7     ambient temperature                                 degree centigrade
% 8     radiation temperature of sky                        degree centigrade
% 9     relative humidity                                   percent
% 10    precipitation                                       m/s
% 11    cloud index (0=no cloud, 1=covered sky)             -
% 12    station pressure                                    Pa
% 13    mean wind speed                                     m/s
% 14    wind direction (north=0° west=270°)                 degree
% 15    incidence angle on surface (0° = vertical)          degree
%       (= -9999, if surface orientation is unknown)
% 16    incidence angle in plane of vertical and main       degree
%       surface axis (the main axis is parallel to heat
%       collecting pipes in a collector, it is pointing
%       to the center of the earth)
% 17    incidence angle in plane of vertical and second     degree
%       surface axis (the second axis is in the surface
%       and a vertical on the heat collecting pipes in 
%       a collector, it is pointing to the horizon)
%
% 18    direct solar radiation on surface                   W/m^2
% 19    diffuse solar radiation on surface                  W/m^2
% UNKNOWN: set -9999 for unknown values
%
%   time        tvalue    zenith   azimuth   Ibn Idfuhor Tamb   Tsky   hum    prec  cloud   p      wspeed  wdir  incidence  tetal   tetat   Idirhor Idfuhor
       0  200501010100    150.70   -156.72     0     0   -3.6  -19.0   90.0  -9999  0.375   96910    3.10  200.0    150.7  -9999.0  -9999.0     0     0
    3600  200501010100    150.70   -156.72     0     0   -3.6  -19.0   90.0  -9999  0.375   96910    3.10  200.0    150.7  -9999.0  -9999.0     0     0
    7200  200501010200    145.19   -132.69     0     0   -4.8  -26.6   84.0  -9999  0.125   96660    2.40  160.0    145.2  -9999.0  -9999.0     0     0
   10800  200501010300    137.28   -114.51     0     0   -5.8  -31.3   81.0  -9999  0.000   96450    2.40  160.0    137.3  -9999.0  -9999.0     0     0
   14400  200501010400    128.25   -100.25     0     0   -5.7  -28.2   76.0  -9999  0.125   96380    2.20  190.0    128.2  -9999.0  -9999.0     0     0
   18000  200501010500    118.81    -88.14     0     0   -5.7  -25.0   76.0  -9999  0.250   96300    2.50  130.0    118.8  -9999.0  -9999.0     0     0
   21600  200501010600    109.43    -77.05     0     0   -5.0  -18.7   63.0  -9999  0.500   96220    2.00  170.0    109.4  -9999.0  -9999.0     0     0
   25200  200501010700    100.44    -66.20     0     0   -5.2  -16.1   59.0  -9999  0.625   96150    3.00  160.0    100.4  -9999.0  -9999.0     0     0
   28800  200501010800     92.19    -55.07     0     0   -3.5  -11.5   57.0  -9999  0.750   96100    3.00  170.0     92.2  -9999.0  -9999.0     0     0
   32400  200501010900     85.02    -43.27    69    36   -2.7   -7.9   58.0  -9999  0.875   96050    5.00  180.0     85.0  -9999.0  -9999.0     6    36
   36000  200501011000     79.32    -30.58    59    75   -0.9   -6.2   46.0  -9999  0.875   95990    5.00  190.0     79.3  -9999.0  -9999.0    11    75
   39600  200501011100     75.50    -17.00   387    78   -0.3   -8.3   46.0  -9999  0.750   95920    7.00  160.0     75.5  -9999.0  -9999.0    97    78
